Vibronics version 0
Yifan Shen 2021

Echo of user command line input:
/home-4/yshen57@jhu.edu/Software/Mine/vibronics/tools/eig/eig.exe -a alpha.txt -b beta.txt

Sat Apr 10 20:52:37 2021

Ground state energy = 26178.03 cm^-1
ΔE / cm^-1    convergence    amplitude     strength    normalized strength
      0.00       0.000000    -0.051009     0.002602     0.071699
    530.17       0.000000    -0.044514     0.001982     0.054605
    898.77      -0.000000    -0.039128     0.001531     0.042190
   1060.35      -0.000000    -0.026667     0.000711     0.019596
   1240.34       0.000000     0.021367     0.000457     0.012582
   1384.38      -0.000000    -0.009704     0.000094     0.002595
   1388.24      -0.000000     0.013160     0.000173     0.004773
   1428.97       0.000000    -0.034098     0.001163     0.032040
   1443.02      -0.000000    -0.170923     0.029215     0.805063
   1546.62       0.000000     0.032008     0.001025     0.028233
   1590.54       0.000000    -0.012626     0.000159     0.004393
   1647.07      -0.000000     0.026631     0.000709     0.019544
   1770.52       0.000000     0.018634     0.000347     0.009568
   1797.50      -0.000000    -0.017974     0.000323     0.008903
   1914.56       0.000000    -0.007886     0.000062     0.001714
   1918.44      -0.000000     0.012626     0.000159     0.004393
   1959.13      -0.000000    -0.020389     0.000416     0.011456
   1973.20      -0.000000     0.151432     0.022932     0.631920
   2076.80       0.000000     0.028938     0.000837     0.023076
   2139.12      -0.000000    -0.016842     0.000284     0.007817
   2177.24      -0.000000     0.023223     0.000539     0.014861
   2283.13       0.000000     0.006371     0.000041     0.001119
   2287.05       0.000000    -0.009948     0.000099     0.002727
   2300.70       0.000000     0.011148     0.000124     0.003425
   2327.67       0.000000    -0.015657     0.000245     0.006756
   2341.74       0.000000    -0.159101     0.025313     0.697548
   2444.74      -0.000000    -0.004228     0.000018     0.000493
   2445.36      -0.000000    -0.031597     0.000998     0.027511
   2448.62      -0.000000    -0.008271     0.000068     0.001885
   2489.33      -0.000000     0.009642     0.000093     0.002562
   2503.38       0.000000     0.092167     0.008495     0.234089
   2545.77       0.000000    -0.020891     0.000436     0.012026
   2606.99      -0.000000     0.017977     0.000323     0.008905
   2624.71      -0.000000     0.003848     0.000015     0.000408
   2628.59      -0.000000    -0.005605     0.000031     0.000866
   2669.28      -0.000000    -0.014658     0.000215     0.005921
   2683.33      -0.000000     0.075974     0.005772     0.159060
   2696.17       0.000000    -0.005051     0.000026     0.000703
   2707.41      -0.000000    -0.013900     0.000193     0.005324
   2772.65       0.000000    -0.002405     0.000006     0.000159
   2786.95      -0.000000    -0.014409     0.000208     0.005721
   2813.29       0.000000    -0.005067     0.000026     0.000708
   2817.22      -0.000000     0.009531     0.000091     0.002503
   2830.88      -0.000000     0.005184     0.000027     0.000741
   2831.26      -0.000000     0.043755     0.001914     0.052757
   2857.83      -0.000000    -0.009362     0.000088     0.002415
   2870.70       0.000000    -0.021561     0.000465     0.012810
   2871.91      -0.000000    -0.140540     0.019751     0.544288
   2887.35      -0.000000    -0.010452     0.000109     0.003011
   2934.87      -0.000000    -0.008240     0.000068     0.001871
   2958.04       0.000000    -0.007400     0.000055     0.001509
   2974.93       0.000000     0.001847     0.000003     0.000094
   2975.52       0.000000    -0.028338     0.000803     0.022130
   2978.80      -0.000000    -0.004276     0.000018     0.000504
   2983.60       0.000000    -0.165403     0.027358     0.753902
   3031.38       0.000000     0.005101     0.000026     0.000717
   3033.57       0.000000     0.044380     0.001970     0.054277
   3035.32       0.000000    -0.007588     0.000058     0.001587
   3037.82      -0.000000    -0.007993     0.000064     0.001761
   3053.20      -0.000000     0.082935     0.006878     0.189542
   3075.93       0.000000    -0.018221     0.000332     0.009149
   3090.02       0.000000     0.090888     0.008261     0.227637
   3137.18       0.000000    -0.008841     0.000078     0.002154
   3154.89       0.000000     0.003108     0.000010     0.000266
   3158.78       0.000000    -0.005358     0.000029     0.000791
   3181.77       0.000000    -0.002064     0.000004     0.000117
   3185.76       0.000000     0.004485     0.000020     0.000554
   3193.60       0.000000     0.017126     0.000293     0.008083
   3199.46       0.000000     0.008773     0.000077     0.002121
   3213.51       0.000000     0.067217     0.004518     0.124504
   3226.32       0.000000    -0.004419     0.000020     0.000538
   3237.59       0.000000    -0.006562     0.000043     0.001187
   3240.37       0.000000    -0.091874     0.008441     0.232600
   3294.43       0.000000     0.009100     0.000083     0.002282
   3302.82       0.000000    -0.002169     0.000005     0.000130
   3317.13       0.000000    -0.012994     0.000169     0.004653
   3343.47       0.000000     0.002700     0.000007     0.000201
   3344.00       0.000000    -0.019307     0.000373     0.010272
   3347.40       0.000000     0.006235     0.000039     0.001071
   3361.44       0.000000     0.042532     0.001809     0.049848
   3388.02       0.000000     0.004424     0.000020     0.000539
   3400.55       0.000000    -0.014523     0.000211     0.005812
   3400.87       0.000000     0.018061     0.000326     0.008989
   3402.09       0.000000    -0.085341     0.007283     0.200697
   3417.52       0.000000    -0.009107     0.000083     0.002286
   3444.37       0.000000    -0.009885     0.000098     0.002693
   3465.06       0.000000     0.008156     0.000067     0.001833
   3488.21       0.000000    -0.006445     0.000042     0.001145
   3505.69       0.000000    -0.017493     0.000306     0.008432
   3513.78       0.000000    -0.149390     0.022317     0.614996
   3523.43       0.000000     0.002548     0.000006     0.000179
   3527.36       0.000000     0.004356     0.000019     0.000523
   3561.55       0.000000     0.004157     0.000017     0.000476
   3565.51       0.000000     0.007263     0.000053     0.001454
   3567.99       0.000000    -0.006960     0.000048     0.001335
   3582.03       0.000000    -0.071783     0.005153     0.141997
   3583.38       0.000000    -0.076104     0.005792     0.159604
   3606.09       0.000000    -0.010904     0.000119     0.003276
   3620.18       0.000000     0.080402     0.006464     0.178138
   3671.38       0.000000    -0.001535     0.000002     0.000065
   3685.09       0.000000    -0.001771     0.000003     0.000086
   3685.66       0.000000     0.014346     0.000206     0.005671
   3688.95       0.000000     0.003507     0.000012     0.000339
   3711.94       0.000000    -0.001541     0.000002     0.000065
   3715.94       0.000000    -0.004309     0.000019     0.000512
   3723.77       0.000000    -0.015448     0.000239     0.006577
   3729.66       0.000000    -0.004301     0.000018     0.000510
   3729.99       0.000000     0.040235     0.001619     0.044611
   3743.69       0.000000     0.040886     0.001672     0.046067
   3756.47       0.000000    -0.002667     0.000007     0.000196
   3769.32       0.000000    -0.019204     0.000369     0.010163
   3770.52       0.000000     0.080934     0.006550     0.180506
   3786.00       0.000000     0.008425     0.000071     0.001956
   3824.59       0.000000    -0.007952     0.000063     0.001743
   3833.01       0.000000    -0.001333     0.000002     0.000049
   3833.62       0.000000     0.008025     0.000064     0.001775
   3847.31       0.000000     0.008058     0.000065     0.001789
   3856.70       0.000000    -0.007385     0.000055     0.001503
   3873.66       0.000000     0.001126     0.000001     0.000035
   3874.16       0.000000    -0.017178     0.000295     0.008131
   3877.58       0.000000    -0.003224     0.000010     0.000286
   3882.17       0.000000    -0.190496     0.036289     1.000000
   3891.63       0.000000    -0.028379     0.000805     0.022194
   3930.00       0.000000    -0.003518     0.000012     0.000341
   3930.74       0.000000     0.012910     0.000167     0.004593
   3931.05       0.000000     0.010582     0.000112     0.003086
   3932.27       0.000000    -0.040935     0.001676     0.046177
   3934.04       0.000000     0.005882     0.000035     0.000954
   3936.47       0.000000     0.002377     0.000006     0.000156
   3947.68       0.000000     0.005415     0.000029     0.000808
   3951.80       0.000000     0.099737     0.009948     0.274123
   3974.50       0.000000     0.008765     0.000077     0.002117
   3988.53       0.000000    -0.086205     0.007431     0.204781
   3995.25       0.000000    -0.005515     0.000030     0.000838
   4018.40       0.000000     0.003839     0.000015     0.000406
   4035.89       0.000000    -0.008535     0.000073     0.002007
   4043.97       0.000000    -0.092733     0.008599     0.236974
   4053.60       0.000000    -0.001990     0.000004     0.000109
   4057.55       0.000000     0.004170     0.000017     0.000479
   4071.57       0.000000     0.019735     0.000389     0.010732
   4084.45       0.000000     0.001235     0.000002     0.000042
   4091.71       0.000000    -0.002260     0.000005     0.000141
   4092.20       0.000000     0.017143     0.000294     0.008098
   4095.68       0.000000     0.004725     0.000022     0.000615
   4098.14       0.000000    -0.004185     0.000018     0.000483
   4110.98       0.000000     0.009202     0.000085     0.002333
   4112.19       0.000000     0.063470     0.004028     0.111009
   4113.57       0.000000    -0.047886     0.002293     0.063189
   4136.28       0.000000     0.005208     0.000027     0.000748
   4138.87       0.000000     0.035664     0.001272     0.035051
   4150.35       0.000000    -0.048774     0.002379     0.065555
   4175.20       0.000000     0.003742     0.000014     0.000386
   4193.05       0.000000     0.007256     0.000053     0.001451
   4198.34       0.000000     0.003324     0.000011     0.000305
   4201.56       0.000000     0.001354     0.000002     0.000051
   4215.82       0.000000    -0.012854     0.000165     0.004553
   4219.15       0.000000     0.001808     0.000003     0.000090
   4223.86       0.000000     0.078910     0.006227     0.171591
   4242.54       0.000000    -0.006935     0.000048     0.001325
   4246.06       0.000000    -0.008829     0.000078     0.002148
   4246.23       0.000000    -0.008464     0.000072     0.001974
   4253.94       0.000000    -0.009691     0.000094     0.002588
   4258.96       0.000000     0.005538     0.000031     0.000845
   4260.17       0.000000     0.038930     0.001516     0.041763
   4271.55       0.000000    -0.002237     0.000005     0.000138
   4273.88       0.000000     0.019613     0.000385     0.010600
   4275.80       0.000000    -0.002170     0.000005     0.000130
   4286.68       0.000000     0.001257     0.000002     0.000044
   4293.49       0.000000    -0.040231     0.001619     0.044602
   4299.49       0.000000    -0.017308     0.000300     0.008255
   4299.60       0.000000     0.007309     0.000053     0.001472
   4300.67       0.000000     0.049061     0.002407     0.066330
   4316.18       0.000000     0.006951     0.000048     0.001331
   4330.77       0.000000    -0.038015     0.001445     0.039824
   4342.90       0.000000     0.003112     0.000010     0.000267
   4346.30       0.000000     0.001836     0.000003     0.000093
   4354.76       0.000000    -0.004819     0.000023     0.000640
   4363.79       0.000000    -0.007900     0.000062     0.001720
   4371.84       0.000000    -0.041915     0.001757     0.048414
   4377.50       0.000000     0.003950     0.000016     0.000430
   4386.86       0.000000     0.006353     0.000040     0.001112
   4404.32       0.000000    -0.010496     0.000110     0.003036
   4412.33       0.000000     0.171169     0.029299     0.807380
   4419.63       0.000000    -0.001466     0.000002     0.000059
   4421.82       0.000000     0.014936     0.000223     0.006148
   4426.09       0.000000     0.001986     0.000004     0.000109
   4433.75       0.000000     0.007608     0.000058     0.001595
   4436.79       0.000000     0.014875     0.000221     0.006098
   4441.44       0.000000     0.021058     0.000443     0.012220
   4460.13       0.000000    -0.002754     0.000008     0.000209
   4460.92       0.000000    -0.007688     0.000059     0.001629
   4461.24       0.000000    -0.004902     0.000024     0.000662
   4464.20       0.000000     0.005650     0.000032     0.000880
   4466.60       0.000000     0.002103     0.000004     0.000122
   4477.87       0.000000     0.002292     0.000005     0.000145
   4478.28       0.000000     0.026288     0.000691     0.019043
   4480.60       0.000000    -0.041830     0.001750     0.048218
   4481.97       0.000000    -0.090913     0.008265     0.227762
   4504.64       0.000000     0.005372     0.000029     0.000795
   4506.24       0.000000     0.009876     0.000098     0.002688
   4517.53       0.000000    -0.011312     0.000128     0.003526
   4518.65       0.000000     0.076034     0.005781     0.159311
   4525.44       0.000000    -0.002956     0.000009     0.000241
   4534.96       0.000000     0.003311     0.000011     0.000302
   4548.59       0.000000     0.001804     0.000003     0.000090
   4574.16       0.000000     0.045600     0.002079     0.057300
   4581.85       0.000000    -0.004916     0.000024     0.000666
   4583.75       0.000000     0.001031     0.000001     0.000029
   4584.27       0.000000    -0.008864     0.000079     0.002165
   4587.72       0.000000    -0.002763     0.000008     0.000210
   4597.70       0.000000    -0.058997     0.003481     0.095916
   4601.75       0.000000    -0.019106     0.000365     0.010059
   4604.88       0.000000     0.003927     0.000015     0.000425
   4614.59       0.000000     0.001191     0.000001     0.000039
   4621.90       0.000000     0.001004     0.000001     0.000028
   4622.34       0.000000    -0.015332     0.000235     0.006478
   4625.86       0.000000     0.002435     0.000006     0.000163
   4628.33       0.000000    -0.001969     0.000004     0.000107
   4628.63       0.000000     0.021404     0.000458     0.012625
   4630.39       0.000000     0.090417     0.008175     0.225285
   4640.92       0.000000     0.006934     0.000048     0.001325
   4641.16       0.000000    -0.007579     0.000057     0.001583
   4642.33       0.000000    -0.038704     0.001498     0.041279
   4643.77       0.000000    -0.023863     0.000569     0.015692
   4667.80       0.000000     0.009997     0.000100     0.002754
   4668.96       0.000000     0.031461     0.000990     0.027276
   4673.77       0.000000     0.062015     0.003846     0.105980
   4678.32       0.000000     0.001383     0.000002     0.000053
   4680.52       0.000000    -0.023356     0.000546     0.015033
   4682.70       0.000000     0.002047     0.000004     0.000116
   4684.49       0.000000     0.003121     0.000010     0.000268
   4700.02       0.000000    -0.044607     0.001990     0.054831
   4705.38       0.000000    -0.003797     0.000014     0.000397
   4722.89       0.000000    -0.006128     0.000038     0.001035
   4728.51       0.000000    -0.002910     0.000008     0.000233
   4732.27       0.000000     0.005107     0.000026     0.000719
   4734.00       0.000000     0.002007     0.000004     0.000111
   4735.38       0.000000     0.035379     0.001252     0.034492
   4746.00       0.000000     0.007669     0.000059     0.001621
   4754.05       0.000000     0.070611     0.004986     0.137395
   4755.23       0.000000     0.003891     0.000015     0.000417
   4767.95       0.000000    -0.015983     0.000255     0.007039
   4772.71       0.000000    -0.007161     0.000051     0.001413
   4776.30       0.000000     0.001724     0.000003     0.000082
   4780.56       0.000000     0.138145     0.019084     0.525897
   4784.13       0.000000    -0.004928     0.000024     0.000669
   4784.64       0.000000    -0.004976     0.000025     0.000682
   4788.82       0.000000    -0.003466     0.000012     0.000331
   4789.11       0.000000    -0.004969     0.000025     0.000680
   4790.34       0.000000    -0.025981     0.000675     0.018601
   4801.64       0.000000    -0.001737     0.000003     0.000083
   4805.86       0.000000    -0.001874     0.000004     0.000097
   4823.67       0.000000     0.036771     0.001352     0.037260
   4828.37       0.000000     0.001349     0.000002     0.000050
   4829.56       0.000000     0.008941     0.000080     0.002203
   4829.65       0.000000     0.008460     0.000072     0.001972
   4830.87       0.000000    -0.023611     0.000557     0.015363
   4832.62       0.000000    -0.002789     0.000008     0.000214
   4840.43       0.000000    -0.004760     0.000023     0.000624
   4844.15       0.000000     0.044394     0.001971     0.054311
   4846.33       0.000000    -0.004953     0.000025     0.000676
   4850.06       0.000000    -0.073318     0.005376     0.148134
   4860.72       0.000000    -0.031219     0.000975     0.026857
   4872.93       0.000000     0.005510     0.000030     0.000837
   4876.47       0.000000     0.001811     0.000003     0.000090
   4882.61       0.000000     0.050236     0.002524     0.069545
   4884.95       0.000000    -0.006715     0.000045     0.001243
   4893.96       0.000000     0.005111     0.000026     0.000720
   4896.03       0.000000    -0.020511     0.000421     0.011593
   4902.03       0.000000    -0.041219     0.001699     0.046819
   4917.02       0.000000     0.003724     0.000014     0.000382
   4934.51       0.000000     0.005072     0.000026     0.000709
   4942.49       0.000000    -0.105776     0.011188     0.308318
   4946.74       0.000000    -0.006845     0.000047     0.001291
   4949.83       0.000000     0.001108     0.000001     0.000034
   4956.25       0.000000    -0.001945     0.000004     0.000104
   4963.81       0.000000    -0.007131     0.000051     0.001401
   4966.98       0.000000     0.013060     0.000171     0.004700
   4970.32       0.000000     0.018529     0.000343     0.009460
   4971.62       0.000000     0.021155     0.000448     0.012332
   4990.29       0.000000    -0.001477     0.000002     0.000060
   4990.56       0.000000     0.010800     0.000117     0.003214
   4991.12       0.000000     0.003629     0.000013     0.000363
   4994.35       0.000000     0.003690     0.000014     0.000375
   4996.74       0.000000     0.001295     0.000002     0.000046
   5008.45       0.000000     0.025281     0.000639     0.017612
   5009.77       0.000000     0.008480     0.000072     0.001981
   5010.74      -0.000000     0.036556     0.001336     0.036826
   5012.11       0.000000     0.057109     0.003261     0.089875
   5034.82       0.000000     0.002594     0.000007     0.000185
   5036.43       0.000000     0.008842     0.000078     0.002155
   5038.35       0.000000     0.008492     0.000072     0.001987
   5047.69       0.000000     0.002987     0.000009     0.000246
   5047.70       0.000000    -0.011292     0.000128     0.003514
   5048.76       0.000000    -0.046154     0.002130     0.058701
   5051.87       0.000000    -0.001260     0.000002     0.000044
   5065.09       0.000000    -0.002953     0.000009     0.000240
   5073.93       0.000000    -0.003722     0.000014     0.000382
   5091.53       0.000000     0.003735     0.000014     0.000384
   5096.95       0.000000    -0.003327     0.000011     0.000305
   5112.03       0.000000    -0.004961     0.000025     0.000678
   5114.41       0.000000    -0.007986     0.000064     0.001757
   5117.91       0.000000    -0.001454     0.000002     0.000058
   5122.54       0.000000    -0.090995     0.008280     0.228171
   5127.88       0.000000    -0.055101     0.003036     0.083666
   5131.93       0.000000    -0.012691     0.000161     0.004439
   5135.03       0.000000     0.003459     0.000012     0.000330
   5141.93       0.000000    -0.002141     0.000005     0.000126
   5152.47       0.000000    -0.009445     0.000089     0.002458
   5157.57       0.000000    -0.004812     0.000023     0.000638
   5158.77       0.000000    -0.019984     0.000399     0.011005
   5160.48       0.000000    -0.081530     0.006647     0.183176
   5169.92       0.000000    -0.001373     0.000002     0.000052
   5171.10       0.000000     0.006168     0.000038     0.001048
   5171.33       0.000000     0.004299     0.000018     0.000509
   5172.51       0.000000     0.018816     0.000354     0.009756
   5174.30       0.000000    -0.002076     0.000004     0.000119
   5192.18       0.000000     0.047923     0.002297     0.063287
   5197.91       0.000000    -0.008261     0.000068     0.001881
   5198.07       0.000000    -0.001175     0.000001     0.000038
