Vibronics version 0
Yifan Shen 2021

Echo of user command line input:
/home-4/yshen57@jhu.edu/Software/Mine/vibronics/tools/eig/eig.exe -a alpha.txt -b beta.txt

Sat Apr 10 20:53:00 2021

Ground state energy = 26856.49 cm^-1
ΔE / cm^-1    convergence    amplitude     strength    normalized strength
      0.00      -0.000000    -0.002618     0.000007     0.000176
     29.03       0.000000     0.114846     0.013190     0.337871
    159.30       0.000000    -0.011579     0.000134     0.003435
    530.18       0.000000     0.001991     0.000004     0.000102
    559.20      -0.000000    -0.100940     0.010189     0.261005
    689.51       0.000000    -0.010423     0.000109     0.002783
    898.77      -0.000000    -0.001080     0.000001     0.000030
    927.78       0.000000     0.096848     0.009380     0.240273
   1058.08      -0.000000    -0.010469     0.000110     0.002807
   1060.36      -0.000000     0.001014     0.000001     0.000026
   1089.40       0.000000    -0.060914     0.003710     0.095050
   1219.67      -0.000000    -0.006444     0.000042     0.001064
   1269.36      -0.000000    -0.049476     0.002448     0.062706
   1399.64       0.000000    -0.005052     0.000026     0.000654
   1417.27      -0.000000    -0.029488     0.000870     0.022274
   1437.64      -0.000000    -0.017244     0.000297     0.007618
   1457.96      -0.000000    -0.084930     0.007213     0.184777
   1524.50       0.000000    -0.191363     0.036620     0.938079
   1547.58      -0.000000    -0.002996     0.000009     0.000230
   1588.26      -0.000000    -0.009382     0.000088     0.002255
   1607.05      -0.000000     0.059650     0.003558     0.091148
   1619.57      -0.000000     0.029089     0.000846     0.021676
   1647.06      -0.000000     0.001359     0.000002     0.000047
   1676.06       0.000000     0.060511     0.003662     0.093798
   1749.86      -0.000000    -0.003155     0.000010     0.000255
   1799.53      -0.000000     0.043429     0.001886     0.048315
   1806.34      -0.000000     0.006122     0.000037     0.000960
   1826.47      -0.000000     0.049905     0.002491     0.063799
   1929.85      -0.000000     0.004548     0.000021     0.000530
   1947.46      -0.000000     0.028472     0.000811     0.020766
   1956.77       0.000000     0.005794     0.000034     0.000860
   1967.84       0.000000    -0.014423     0.000208     0.005329
   1988.12       0.000000     0.051132     0.002614     0.066974
   2054.67       0.000000     0.171077     0.029267     0.749730
   2077.76       0.000000     0.002950     0.000009     0.000223
   2118.43       0.000000    -0.005765     0.000033     0.000851
   2137.22      -0.000000     0.054236     0.002942     0.075353
   2168.10       0.000000    -0.042623     0.001817     0.046539
   2177.19       0.000000    -0.001035     0.000001     0.000027
   2206.23       0.000000    -0.053128     0.002823     0.072305
   2298.40       0.000000     0.004643     0.000022     0.000552
   2316.05       0.000000    -0.024547     0.000603     0.015436
   2329.72      -0.000000    -0.026183     0.000686     0.017561
   2336.35      -0.000000     0.013818     0.000191     0.004891
   2336.53       0.000000     0.004847     0.000023     0.000602
   2356.63       0.000000    -0.043626     0.001903     0.048755
   2423.17       0.000000     0.197578     0.039037     1.000000
   2446.34       0.000000    -0.002678     0.000007     0.000184
   2460.02       0.000000     0.002800     0.000008     0.000201
   2477.66      -0.000000     0.018811     0.000354     0.009065
   2486.93       0.000000    -0.005170     0.000027     0.000685
   2498.02       0.000000     0.008224     0.000068     0.001733
   2505.74      -0.000000     0.064663     0.004181     0.107109
   2518.33      -0.000000    -0.024340     0.000592     0.015176
   2574.72      -0.000000     0.052111     0.002716     0.069564
   2584.86      -0.000000    -0.105070     0.011040     0.282803
   2607.94       0.000000    -0.001993     0.000004     0.000102
   2648.60      -0.000000    -0.002796     0.000008     0.000200
   2657.60      -0.000000    -0.012898     0.000166     0.004261
   2667.41       0.000000     0.033914     0.001150     0.029464
   2677.95       0.000000    -0.007217     0.000052     0.001334
   2698.27      -0.000000     0.037326     0.001393     0.035691
   2704.99       0.000000    -0.005652     0.000032     0.000818
   2725.08       0.000000     0.016681     0.000278     0.007128
   2736.41       0.000000     0.032035     0.001026     0.026290
   2764.79       0.000000    -0.088080     0.007758     0.198737
   2787.91       0.000000    -0.001329     0.000002     0.000045
   2825.89       0.000000    -0.004276     0.000018     0.000468
   2828.56       0.000000     0.004146     0.000017     0.000440
   2846.22       0.000000     0.023580     0.000556     0.014244
