Vibronics version 0
Yifan Shen 2021

Echo of user command line input:
/home-4/yshen57@jhu.edu/Software/Mine/vibronics/tools/eig/eig.exe -a alpha.txt -b beta.txt

Sat Apr 17 13:56:19 2021

Ground state energy = 26772.61 cm^-1
ΔE / cm^-1    convergence    amplitude     strength    normalized strength
      0.00       0.000000    -0.001268     0.000002     0.000357
    251.73       0.000000     0.001870     0.000003     0.000776
    429.50      -0.000000     0.002116     0.000004     0.000993
    530.06       0.000000     0.001021     0.000001     0.000231
    781.74      -0.000000    -0.001438     0.000002     0.000459
    959.52      -0.000000    -0.001678     0.000003     0.000625
   1149.53      -0.000000     0.001632     0.000003     0.000591
   1198.09       0.000000     0.003104     0.000010     0.002139
   1327.30      -0.000000    -0.001898     0.000004     0.000800
   1440.24       0.000000     0.003819     0.000015     0.003236
   1679.48       0.000000     0.001310     0.000002     0.000381
   1690.03       0.000000    -0.008433     0.000071     0.015783
   1728.08       0.000000    -0.002367     0.000006     0.001243
   1795.42      -0.000000    -0.001604     0.000003     0.000571
   1857.29      -0.000000     0.001577     0.000002     0.000552
   1867.87      -0.000000     0.009370     0.000088     0.019485
   1970.20      -0.000000     0.003099     0.000010     0.002132
   1973.35      -0.000000     0.001762     0.000003     0.000689
   2046.94      -0.000000     0.001274     0.000002     0.000360
   2071.72      -0.000000     0.001213     0.000001     0.000327
   2095.65      -0.000000    -0.003265     0.000011     0.002366
   2219.74      -0.000000    -0.006240     0.000039     0.008642
   2224.72      -0.000000     0.001683     0.000003     0.000628
   2258.08      -0.000000     0.001292     0.000002     0.000371
   2319.58      -0.000000     0.001243     0.000002     0.000343
   2325.29      -0.000000    -0.001215     0.000001     0.000328
   2337.52       0.000000    -0.001928     0.000004     0.000825
   2397.60       0.000000     0.006969     0.000049     0.010781
   2500.15      -0.000000     0.001863     0.000003     0.000770
   2503.26       0.000000    -0.001314     0.000002     0.000383
   2522.45      -0.000000     0.001451     0.000002     0.000468
   2547.65      -0.000000    -0.001638     0.000003     0.000596
   2565.93       0.000000    -0.001536     0.000002     0.000524
   2568.57      -0.000000    -0.003631     0.000013     0.002926
   2584.61       0.000000     0.001409     0.000002     0.000441
   2586.36      -0.000000     0.005447     0.000030     0.006585
   2586.61       0.000000     0.008514     0.000072     0.016089
   2625.56      -0.000000    -0.002585     0.000007     0.001483
   2635.76      -0.000000     0.001079     0.000001     0.000258
   2645.16      -0.000000    -0.001772     0.000003     0.000697
   2674.61       0.000000     0.001268     0.000002     0.000357
   2678.12      -0.000000    -0.003122     0.000010     0.002164
   2692.53       0.000000    -0.002103     0.000004     0.000982
   2727.14      -0.000000     0.001071     0.000001     0.000255
   2728.37      -0.000000    -0.004684     0.000022     0.004870
   2729.20      -0.000000     0.007021     0.000049     0.010942
   2730.03      -0.000000     0.004967     0.000025     0.005477
   2732.48      -0.000000     0.007630     0.000058     0.012921
   2737.19      -0.000000    -0.001183     0.000001     0.000311
   2744.87       0.000000    -0.001073     0.000001     0.000255
   2745.16      -0.000000    -0.006801     0.000046     0.010266
   2749.44      -0.000000     0.003148     0.000010     0.002200
