Vibronics version 0
Yifan Shen 2021

Echo of user command line input:
/home-4/yshen57@jhu.edu/Software/Mine/vibronics/tools/eig/eig.exe -a alpha.txt -b beta.txt

Sat Apr 10 20:58:09 2021

Ground state energy = 27494.41 cm^-1
ΔE / cm^-1    convergence    amplitude     strength    normalized strength
      0.00       0.000000     0.001581     0.000002     0.000089
    530.15       0.000000    -0.001372     0.000002     0.000067
   1495.50      -0.000000    -0.001945     0.000004     0.000135
   2025.67      -0.000000    -0.001665     0.000003     0.000099
   2393.62      -0.000000     0.001202     0.000001     0.000052
   2476.27      -0.000000    -0.001067     0.000001     0.000041
   2544.17       0.000000     0.001762     0.000003     0.000111
   2555.82       0.000000     0.001538     0.000002     0.000085
   2627.24      -0.000000     0.026435     0.000699     0.024965
   2634.71      -0.000000     0.058744     0.003451     0.123284
   2638.27      -0.000000     0.002253     0.000005     0.000181
   2639.79       0.000000    -0.001264     0.000002     0.000057
   2648.59       0.000000    -0.004299     0.000018     0.000660
   2668.89       0.000000     0.003835     0.000015     0.000525
   2695.22       0.000000    -0.002275     0.000005     0.000185
   2706.55      -0.000000    -0.002034     0.000004     0.000148
   2736.39       0.000000     0.005599     0.000031     0.001120
   2855.55       0.000000    -0.001025     0.000001     0.000038
   2888.03       0.000000     0.006118     0.000037     0.001337
   2923.70      -0.000000    -0.003021     0.000009     0.000326
   3004.41       0.000000    -0.002048     0.000004     0.000150
   3006.33       0.000000    -0.001843     0.000003     0.000121
   3022.18       0.000000    -0.006607     0.000044     0.001559
   3034.70      -0.000000     0.001444     0.000002     0.000074
   3036.81       0.000000    -0.002120     0.000004     0.000161
   3060.74       0.000000     0.002527     0.000006     0.000228
   3073.57      -0.000000     0.009813     0.000096     0.003440
   3085.96       0.000000     0.003021     0.000009     0.000326
   3121.59      -0.000000    -0.080400     0.006464     0.230932
   3129.59       0.000000     0.001538     0.000002     0.000084
   3138.85      -0.000000     0.001427     0.000002     0.000073
   3141.89      -0.000000    -0.003265     0.000011     0.000381
   3158.87      -0.000000    -0.006020     0.000036     0.001295
